"common_name","sample_type","collection_date","conservation_status","depth_high_range_m","depth_low_range_m","Depth_m","Diet","dist_to_dorsal_cm","distance_from_shore_m","distance_from_shore_m_log","evo_distanceto_mackerel_median_mya","evo_timetree_species_name","fish_collection_method","fl_cm","gape_cm","gi_cm","hab_notes","habitat_depth_level2","host_body_mass_index","host_common_name","host_height","host_height_vs_max_height_tl","host_scientific_name","host_subject_id","host_taxid","host_weight","mass_g","max_age","max_kg_grams","max_length_cm","max_tl_cm","method_gear","month","number_db","p_family","p_genus","p_genus_species_alternative","p_order","ratio_dorsal_to_tl","ratio_gape_to_tl","ratio_gi_to_tl","sample_type_descriptive","SAMPLE_TYPE","substrata_collection","swim_mode","swim_performance","tl_cm","trophic","p_genus_species"
"honeycomb rockfish","hindgut",Black croaker,"not applicable","119","30","30","small fish_ crabs_ shrimp","8.5","2486","3.395501124","116","Sebastes umbrosus","hook and line survey","28.3","6","32","rock reef, benthic","neritic","1.718414599","honeycomb rockfish","28.6","96","Sebastes umbrosus","FMP_3","72105","402","402","not applicable","0.57","30","29.8","rod and reel","8","277","Sebastidae","Sebastes","Sebastes umbrosus","Perciformes","0.297202797","0.20979021","1.118881119","hindgut digesta","fish hindgut digesta","rocky reef","Labriform","generalist","28.6","3","Sebastes umbrosus"
"squarespot rockfish","hindgut",Black croaker,"NE","183","18","50","plankton_ copepods_ crab larvae","6.2","5280","3.722633923","116","Sebastes hopkinsi","hook and line","24","3.1","53","shallow, mid, deep reef","neritic","1.0848","squarespot rockfish","25","86","Sebastes hopkinsi","FMP_38","72080","169.5","169.5","19","not applicable","29","29","rod and reel","7","197","Sebastidae","Sebastes","Sebastes hopkinsi","Perciformes","0.248","0.124","2.12","hindgut digesta","fish hindgut digesta","rocky reef","Labriform","generalist","25","2","Sebastes hopkinsi"
"greenspotted rockfish","hindgut",Black croaker,"not applicable","201","49","50","euphausids_ tunicates_ small fishes","7.4","4075","3.610127613","116","Sebastes chlorostictus","hook and line","24.5","4.5","31.5","caves, crevices, rock reef","neritic","1.442256203","greenspotted rockfish","24.5","49","Sebastes chlorostictus","FMP_39","72064","212.1","212.1","33","1","50","50","rod and reel","7","223","Sebastidae","Sebastes","Sebastes chlorostictus","Perciformes","0.302040816","0.183673469","1.285714286","hindgut digesta","fish hindgut digesta","rocky reef","Labriform","generalist","24.5","3","Sebastes chlorostictus"
"starry rockfish","hindgut",Black croaker,"NE","274","24","30","small fish_ crabs_ shrimp","6","2486","3.395501124","116","Sebastes constellatus","hook and line survey","22.1","3.5","36","deep reefs","neritic","1.83437604","starry rockfish","22.1","48","Sebastes constellatus","FMP_4","72066","198","198","32","1","46","46","rod and reel","8","297","Sebastidae","Sebastes","Sebastes constellatus","Perciformes","0.271493213","0.158371041","1.628959276","hindgut digesta","fish hindgut digesta","rocky reef","Labriform","generalist","22.1","3","Sebastes constellatus"
"California scorpionfish","hindgut",Black croaker,"DD","183","26","30","octopus_ crab_ small fish","4.5","2812","3.449015316","116","Scorpaena guttata","hook and line survey","17.9","2.5","23.5","rocky reef, kelp","neritic","1.708704577","California scorpionfish","17.9","42","Scorpaena guttata","FMP_41","72114","98","98","21","not applicable","57.9","43","rod and reel","8","301","Scorpaenidae","Scorpaena","Scorpaena guttata","Perciformes","0.251396648","0.139664804","1.312849162","hindgut digesta","fish hindgut digesta","kelp forrest","Cottiform","accelerator","17.9","3","Scorpaena guttata"
"brown rockfish","hindgut",Black croaker,"DD","128","0","30","fish_ crab_ shrimp","6.3","3440","3.536558443","116","Sebastes auriculatus","hook and line survey","23.7","4","23.5","not applicable","neritic","1.472506092","brown rockfish","23.5","42","Sebastes auriculatus","FMP_42","72057","191.1","191.1","34","not applicable","56","56","rod and reel","8","272","Sebastidae","Sebastes","Sebastes auriculatus","Perciformes","0.268085106","0.170212766","1","hindgut digesta","fish hindgut digesta","kelp forrest","Labriform","generalist","23.5","3","Sebastes auriculatus"
"gopher rockfish","hindgut",Black croaker,"NE","55","0","30","fish_ benthic crustaceans_ cephalopods","7","2486","3.395501124","116","Sebastes carnatus","hook and line survey","25.5","4.5","34.5","not applicable","neritic","1.905752689","gopher rockfish","25.5","65","Sebastes carnatus","FMP_5","72062","316","316","30","not applicable","43","39","rod and reel","8","257","Sebastidae","Sebastes","Sebastes carnatus","Perciformes","0.274509804","0.176470588","1.352941176","hindgut digesta","fish hindgut digesta","rocky reef","Labriform","generalist","25.5","3","Sebastes carnatus"
"California lizardfish","hindgut",Black croaker,"LC","229","1","3","fish","11.4","78","1.892094603","154","Synodus foetens","hook and line","29.5","3.5","34.5","not applicable","neritic","0.540760471","California lizardfish","30.8","48","Synodus lucioceps","FMP_51","320415","158","158","not applicable","not applicable","63.9","64","rod and reel","5","233","Synodontidae","Synodus","Synodus lucioceps","Aulopiformes","0.37012987","0.113636364","1.12012987","hindgut digesta","fish hindgut digesta","sandy mud bottom","Esociform","accelerator","30.8","4","Synodus lucioceps"
"Pacific bonito","hindgut",Black croaker,"LC","100","0","3","fish_ squids_ shrimp","9.5","245","2.389166084","52","Sarda chiliensis","hook and line","34.5","3.8","32","not applicable","neritic","1.112136488","Pacific bonito","36.5","36","Sarda chiliensis","FMP_58","8231","540.8","540.8","not applicable","11.3","122","102","rod and reel","9","492","Scombridae","Sarda","Sarda chiliensis","Scombriformes","0.260273973","0.104109589","0.876712329","hindgut digesta","fish hindgut digesta","sandy bottom","Thunniform","crusier sprinter","36.5","3","Sarda chiliensis"
"South American pilchard","hindgut",Black croaker,"LC","200","0","3","planktonic crustaceans","5.8","245","2.389166084","224","Sardinops sagax","hook and line","13.3","2.1","16.7","not applicable","neritic","0.579493923","South American pilchard","15.6","39","Sardinops sagax","FMP_60","28381","22","22","25","0.486","41","39.5","rod and reel","10","321","Clupeidae","Sardinops","Sardinops sagax","Clupeiformes","0.371794872","0.134615385","1.070512821","hindgut digesta","fish hindgut digesta","sandy bottom","Carangiform","crusier sprinter","15.6","2","Sardinops sagax"
"california butterfly ray","hindgut",Black croaker,"LC","94","1","1","bony fish_ crustacean","not collected","3","0.477121255","465","Gymnura","hook and line","23.4","1.4","20.2","mud, sand,","intertidal","2.676208298","california butterfly ray","23.4","23","Gymnura marmorata","FMP_67","86361","342.9","342.9","not applicable","not applicable","157","100","rod and reel","8","456","Gymnuridae","Gymnura","Gymnura marmorata","Myliobatiformes","not applicable","0.05982906","0.863247863","hindgut digesta","fish hindgut digesta","sandy bottom (mud)","Rajiform","flow refuging","23.4","3","Gymnura marmorata"
"California moray","hindgut",Black croaker,"NE","40","1","1","crustaceans_ octopus_ fish","8.5","3","0.477121255","284","Gymnothorax kidako","hook and line","80","5","44.8","not applicable","neritic","0.25625","California moray","80","53","Gymnothorax mordax","FMP_68","875776","1312","1312","30","not applicable","152","152","rod and reel","8","288","Muraenidae","Gymnothorax","Gymnothorax mordax","Anguilliformes","0.10625","0.0625","0.56","hindgut digesta","fish hindgut digesta","rocky reef (shallow)","Anguilliform","burrowing","80","3","Gymnothorax mordax"
"yellowtail amberjack","hindgut",Black croaker,"NE","825","3","10","fish_ squid_ crab_ crust","not collected","4970","3.696356389","116","Seriola dorsalis","hook and line survey","79","not collected","75","not applicable","neritic","#VALUE!","yellowtail amberjack","not collected","34","Seriola lalandi dorsalis","FMP_79","302047","6980","6980","12","96.8","150","250","rod and reel","8","172","Carangidae","Seriola","Seriola dorsalis","Carangiformes","not applicable","not applicable","0.872093023","hindgut digesta","fish hindgut digesta","kelp forrest","Carangiform","crusier sprinter","86","3","Seriola dorsalis"
"pelagic ray","hindgut",Black croaker,"LC","381","1","3","coelenterates_ squid_ decapod crusta_ fish","not collected","4970","3.696356389","465","Pteroplatytrygon violacea","hook and line survey","not applicable","not collected","46","not applicable","neritic","#VALUE!","pelagic ray","not collected","85","Pteroplatytrygon violacea","FMP_80","651723","11470","11470","not applicable","not applicable","80","163","rod and reel","8","393","Dasyatidae","Dasyatis","Pteroplatytrygon violacea","Myliobatiformes","not applicable","not applicable","0.332850941","hindgut digesta","fish hindgut digesta","kelp forrest","Rajiform","flow refuging","138.2","3","Pteroplatytrygon violacea"
"giant black seabass","hindgut",Black croaker,"CR","46","5","10","bony fish_ sharks_ rays_ crustacean","not collected","1533","3.185542155","116","Stereolepis gigas","hook and line","not collected","not collected","not collected","rocky reef, kelp bed","neritic","#VALUE!","giant black seabass","118","47","Stereolepis gigas","FMP_92","184449","not collected","not collected","100","255.6","270","250","rod and reel","7","176","Polyprionidae","Stereolepsis","Stereolepis gigas","Pempheriformes","not applicable","not applicable","not applicable","hindgut digesta","fish hindgut digesta","kelp forrest","Labriform","generalist","118","4","Stereolepis gigas"
"yellowfin tuna","hindgut",Black croaker,"NT","250","0","1","fish_ squid_ crustraceans","not collected","110765","5.044402552","52","Thunnus albacares","hook and line","53.34","not collected","47","not applicable","neritic","2.625847024","yellowfin tuna","59.182","25","Thunnus albacares","FMP_94","8236","5443","5443","9","200","206","239","rod and reel","10","506","Scombridae","Thunnus","Thunnus albacares","Scombriformes","not applicable","not applicable","0.794160387","hindgut digesta","fish hindgut digesta","pelagic","Thunniform","crusier sprinter","59.182","3","Thunnus albacares"
"arrow goby","hindgut",Black croaker,"NE","2","0","1","diatoms_ green algae_ tintinnids_ eggs","1.1","5","0.698970004","116","Gymnogobius urotaenia","hook and line","3.2","0.4","2","not applicable","intertidal","0.561523438","arrow goby","3.2","50","Clevelandia ios","FMP_95","185732","0.184","0.184","3","not applicable","6.7","6.4","rod and reel","8","325","Gobiidae","Clevelandia","Clevelandia ios","Gobiiformes","0.34375","0.125","0.625","hindgut digesta","fish hindgut digesta","sandy mud bottom","Esociform","accelerator","3.2","2","Clevelandia ios"
"California killifish","hindgut",Black croaker,"NE","1","0.3","1","gastropods_ crustaceans_ bivalves_ worms_ microalgae","2.2","42","1.62324929","116","Fundulus parvipinnis","hook and line","4.7","0.3","4.2","bay estuary, benthopelagic","intertidal","1.292584495","California killifish","4.7","44","Fundulus parvipinnis","FMP_96","28757","1.342","1.342","3","not applicable","13.3","10.8","rod and reel","8","307","Fundulidae","Fundulus","Fundulus parvipinnis","Cyprinodontiformes","0.468085106","0.063829787","0.893617021","hindgut digesta","fish hindgut digesta","sandy mud bottom","Esociform","accelerator","4.7","2","Fundulus parvipinnis"
"Dolphinfish","hindgut",Black croaker,"LC","85","0","3","fish_ squid_ zooplankton_ crustacean","6.2","15450","4.188928484","116","Coryphaena hippurus","hook and line","65","6.5","44","not applicable","neritic","0.714357963","Dolphinfish","78","37","Coryphaena hippurus","FMP_97","34814","3390","3390","4","40","210","210","rod and reel","8","495","Coryphaenidae","Coryphaena","Coryphaena hippurus","Carangiformes","0.079487179","0.083333333","0.564102564","hindgut digesta","fish hindgut digesta","pelagic","Carangiform","crusier sprinter","78","3","Coryphaena hippurus"
"skipjack tuna","hindgut",Black croaker,"LC","260","0","3","fish_ cephalopods_ crustacea_ mollusks_ cannibalism","19.1","71737","4.855743211","52","not applicable","hook and line","60.2","6.4","31.5","not applicable","neritic","2.657315551","skipjack tuna","63.5","58","Katsuwonus pelamis","FMP_98","8226","6804","6804","12","34.5","108","110","rod and reel","8","443","Scombridae","Katsuwonus","Katsuwonus pelamis","Scombriformes","0.300787402","0.100787402","0.496062992","hindgut digesta","fish hindgut digesta","pelagic","Thunniform","crusier sprinter","63.5","3","Katsuwonus pelamis"
"topsmelt silverside","hindgut",Black croaker,"LC","26","0","1","zooplankton_ algae_ fly larvae","7.3","30","1.477121255","116","Atherinops affinis","hook and line","11.5","0.6","17.4","not applicable","neritic","0.666833104","topsmelt silverside","12.4","34","Atherinops affinis","FMP_99","238741","12.714","12.714","9","not applicable","38.8","37","rod and reel","8","324","Atherinopsidae","Atherinops","Atherinops affinis","Atheriniformes","0.588709677","0.048387097","1.403225806","hindgut digesta","fish hindgut digesta","sandy mud bottom","Subcarangiform","generalist","12.4","2","Atherinops affinis"
